cluster	gloss
-1	(mechanics) the equal and opposite force that is produced when any force is applied to a body / (physics) a manifestation of energy; the transfer of energy from one physical system to another expressed as the product of a force and the distance through which it moves a body in the direction of that force / a clique (often secret) that seeks power usually through intrigue / a gum from seeds of the guar plant; used to thicken foods and as sizing for paper and cloth / a man distinguished by exceptional courage and nobility and strength / a person who pleads for a cause or propounds an idea / a point where two lines (paths or arcs etc.) intersect / a starch made by leaching and drying the root of the cassava plant; the source of tapioca; a staple food in the tropics / devoid of warmth and cordiality; expressive of unfriendliness or disdain / psychologically cool and unenthusiastic; unfriendly or unresponsive or showing dislike / someone who fights for a cause / the body of people who lead a group / the feelings expressed on a person's face / the force experienced by a point charge moving along a wire that is in a magnetic field; the force is at right angles to both the current and the magnetic field / the last czar of Russia who was forced to abdicate in 1917 by the Russian Revolution; he and his family were executed by the Bolsheviks (1868-1918) / the tobacco used to form the core of a cigar / travel along a certain course / wander from a direct course or at random
0	the act of pressing; the exertion of pressure
1	a general course along which something has a tendency to develop
2	small part of a cigar that is left after smoking / small part of a cigarette that is left after smoking
3	(of a woman's body) having a large bosom and pleasing curves / a commercial preparation of starch that is used to stiffen textile fabrics in laundering / a line of scalp that can be seen when sections of hair are combed in opposite directions / a muscle that contracts while another relaxes / an abnormal adhesion of two or more structures / an appearance that is not attractive or beautiful / an arm exercise performed by pulling yourself up on a horizontal bar until your chin is level with the bar / an arm exercise performed lying face to the floor and pushing the body up and down with the arms / an operation with exactly one operand / attractiveness in appearance or dress or manner / cause to be firmly attached / coarse erect biennial Old World herb introduced as a weed in eastern North America / compact usually dark-colored mass of hardened mycelium constituting a vegetative food-storage body in various true fungi; detaches when mature and can give rise to new growth / either of two fleshy folds of tissue that surround the mouth and play a role in speaking / exercise in which opposing muscles contract and there is controlled movement (tension is constant while the lengths of the muscles change) / fine somewhat brownish long-staple cotton grown in Egypt; believed to be derived from sea island cotton or by hybridization with Peruvian cotton / fine white Philippine fiber from stalks of unopened leaves of talipot palms; used in making hats / having the properties of a magnet; the ability to draw or pull / herb widely distributed in tropics and subtropics used for forage and medicinally as a demulcent and having a fine soft bast stronger than jute; sometimes an aggressive weed / move with force, / one of the bony prominences developed near the upper extremity of the femur to which muscles are attached / pulled or drawn tight / the act of pulling and releasing a taut cord / the cavity between the jaws and the cheeks / the characteristic parts of a person's face: eyes and nose and mouth and chin / the elasticity of something that can be stretched and returns to its original length / the quality of being good looking and attractive / the striking part of a tool / the stroke of a key; one depression of a key on a keyboard / the upper surface of the mouth that separates the oral and nasal cavities
4	(of a woman's body) having a large bosom and pleasing curves / a looped stitch resembling the links of a chain; used in embroidery and in sewing / a loose, looped, sewing stitch used to transfer marking for darts, etc., from a pattern to material / a rate of charging by the linear foot of work done / a strong reinforcing stitch for edges of blanket and other thick material; similar to buttonhole stitch / aesthetically pleasing / any vertical post or rod used as a support / make better or more attractive / price charged for goods picked up at the factory / pull or lift up with or as if with a winch / restraint that attaches to something or holds something in place / the wage demanded from management for workers by their union representatives
5	a design consisting of a pattern of varicolored diamonds on a solid background (originally for knitted articles); patterned after the tartan of a clan in western Scotland / a design or figure that consists of recurring shapes or colors, as in architecture or decoration / a surgical removal of all or part of a limb / abnormal position of a part or organ (especially at the time of birth) / severely simple in line or design / surgical removal of a body part or tissue
6	a deformity in which part of a limb is turned inward to an abnormal degree / a deformity in which there is an abnormal displacement of part of a limb away from the midline of the body / a surgical removal of all or part of a limb / abnormal enlargement of a body part or organ / rupture in smooth muscle tissue through which a bodily structure protrudes / surgical incision or division of a muscle
7	a loose, looped, sewing stitch used to transfer marking for darts, etc., from a pattern to material / a strong reinforcing stitch for edges of blanket and other thick material; similar to buttonhole stitch / an overall beauty treatment (involving a person's hair style and cosmetics and clothing) intended to change or improve a person's appearance / cosmetics applied to the face to improve or change your appearance / makeup that makes the lips shiny / rub with a brush, or as if with a brush
8	a lack of harmony / an inflexible and unchanging state / an unstable order / become inflexible and unchanging / lack of harmony or correspondence / used of temperament or behavior; lacking restraint or modesty
9	a natural opening in something / a relatively thin sheetlike expanse or region lying over or under another / a uniform movement without rotation / change orientation or direction, also in the abstract sense / move so as to change position, perform a nontranslational motion / scatter or intersperse like dots or studs
10	a casual or unexpected convergence / an event that might have been arranged although it was really accidental / at every point / be the case by chance / follow a certain course / mark fine distinctions and subtleties, as among words
11	change suddenly from one tone quality or register to another / in a dim indistinct manner / move smoothly and effortlessly / move with force, / the act of pressing; the exertion of pressure / the relative prominence of a syllable or musical note (especially with regard to stress or pitch)
12	a deformity in which part of a limb is turned inward to an abnormal degree / a deformity in which there is an abnormal displacement of part of a limb away from the midline of the body / a muscle that contracts while another relaxes
13	an open area at the meeting of two or more streets / the entrance (the space in a wall) through which you enter or leave a room or building; the space that a door can close / the yard in front of a house; between the house and the street
14	directed away from the midline or mesial plane of the body / one of the bony prominences developed near the upper extremity of the femur to which muscles are attached / the region of the hips and groin and lower abdomen
15	cause to move by pulling / press firmly / the act of pressing; the exertion of pressure
16	a colorless crystalline solid used in perfume or preserving biological specimens or in embalming or medically as a fungicide or antiseptic / a pale yellow to red-brown fatty oil obtained from seal blubber; used in making soap and dressing leather and as a lubricant / white crystalline compound that occurs naturally as the mineral gibbsite
17	in or characteristic of a region of the United States north of (approximately) the Mason-Dixon line / in or characteristic of a region of the United States south of (approximately) the Mason-Dixon line / the region of the United States lying to the north of the Mason-Dixon line
18	a hair style in which the front hair is swept up from the forehead / a hair style that draws the hair back so that it hangs down in back of the head like a pony's tail / a rounded thickly curled hairdo
19	a straight line can be drawn between any two points / an established line of travel or access / mark with a signpost, as of a path
20	a gesture executed with the facial muscles / a gesture involving the shoulders / classical position of the body and especially the feet in ballet
