cluster	gloss
-1	an overhang consisting of the fan-shaped part of the deck extending aft of the sternpost of a ship / having worth or merit or value; being honorable or admirable / high status importance owing to marked superiority / lift out or reflect from a background / located at or near or behind a part or near the end of a structure / pass from one quality such as color to another by a slight degree / shade within clear boundaries / structural member consisting of a continuous horizontal timber forming the lowest member of a framework or supporting structure / the quality of deserving veneration
0	the boundary of a specific area
1	a slight competitive advantage / the quality of being at a competitive advantage
2	position of advantage and control
3	a stage of technological development or innovation / the highest degree of development of an art or technique at a particular time / the highest level of development at a particular time (especially the present time)
4	(chemistry) a substance consisting of two or more substances mixed together (not in fixed proportions and not with chemical bonding) / a rectangular area in a city surrounded by streets and usually containing several buildings / a substance prepared according to a formula / any substance possessing to a high degree the predominant properties of a plant or drug or other natural product from which it is extracted / cut or remove with or as if with a plane / mark with a buoy / score a line on with a pointed instrument, as in metalworking / situated in or facing or moving toward or coming from the south / situated in the northern part of a centrally located area in some geographical region
5	a drawback or difficulty that is not readily evident / a flaw or weak point / a slight competitive advantage / a straight line or plane that touches a curve or curved surface at a point but does not intersect it at that point / an angle formed by three or more planes intersecting at a common point (the vertex) / ellipse in which the two axes are of equal length; a plane curve generated by one point moving at a constant distance from a fixed point / find a flaw in / give an advantage to / the quality of being at a competitive advantage
6	a very thin line
7	a bounded scope / a degree in a continuum of size or quantity / a demarcated area of the Earth / any region lying in or toward the south / related or limited to a distinct region or subdivision of a territory or community or group of people / the boundary of a specific area
8	a mechanism in a firearm that pulls an empty shell case out of the chamber and passes it to the ejector / a metal block in breech-loading firearms that is withdrawn to insert a cartridge and replaced to close the breech before firing / the handle of a handgun or the butt end of a rifle or shotgun or part of the support of a machine gun or artillery gun
9	(geometry) a straight line connecting any two vertices of a polygon that are not adjacent / (mathematics) the shortest line between two points on a mathematically defined surface (as a straight line on a plane or an arc of a great circle on a sphere) / a geometric element that has position but no extension
10	extend on all sides of simultaneously; encircle / form the boundary of; be contiguous to / the boundary of a specific area
11	move downward / move upward / move upwards
12	position of advantage and control / the mechanical advantage gained by being in a position to use a lever / the quality of having a superior or more favorable position
13	the starting point for a new state or experience / the state of being within or not going beyond a given domain / to reach the highest point; attain maximum intensity, activity
14	an advantage held by a competitor in a race / position of advantage and control / seize the position of and defeat
