cluster	gloss
-1	the bottom of a shoe or boot; the back part of a shoe or boot that touches the ground and provides elevation / the outer sole of a shoe or boot that is the bottom of the shoe and makes contact with the ground
0	the part of the human leg between the knee and the ankle
1	exactly ahead or in front / the part of the human leg between the knee and the ankle
2	a shoe that comes up to the ankle and is laced through two or three pairs of eyelets; often made of suede / footwear shaped to fit the foot (below the ankle) with a flexible upper of leather or plastic and a sole and heel of heavier material
3	any of the terminal members of the hand (sometimes excepting the thumb) / of or relating to the palm of the hand or to the area at the base of the thumb
4	be later in time / immediately following in time or order
5	bend one's knee or body, or lower one's head / move fast by using one's feet, with one foot off the ground at any given time / raising the feet backward with the hands on the ground; a first movement in doing a handstand
6	a human limb; technically the part of the superior limb between the shoulder and the elbow but commonly used to refer to the whole superior limb / that part of a limb that is farthest from the torso / the part of the superior limb between the elbow and the wrist
7	be later in time / come to pass; arrive, as in due course / immediately following in time or order
8	the front part of the human leg between the knee and the ankle / the hip and buttock and upper thigh in human beings / the part of the human leg between the knee and the ankle
9	a bird's foot having the first and fourth toes of each foot directed backward and the second and third forward / the bottom of a shoe or boot; the back part of a shoe or boot that touches the ground and provides elevation / the outer sole of a shoe or boot that is the bottom of the shoe and makes contact with the ground
10	a backless sandal held to the foot by a thong between the big toe and the second toe / a shoe that comes up to the ankle and is laced through two or three pairs of eyelets; often made of suede / the part of the human leg between the knee and the ankle
11	(of animals that have several estrous cycles in one breeding season) in a period of sexual inactivity / a domestic animal (especially a young steer or heifer) kept as stock until fattened or matured and suitable for a breeding establishment / male red deer in its second year
12	of or relating to the palm of the hand or to the area at the base of the thumb / the second finger; between the index finger and the ring finger / the third finger (especially of the left hand)
13	a man distinguished by exceptional courage and nobility and strength / a man who is White / a woman who is White
14	a government that subordinates the individual to the state and strictly controls all aspects of life by coercive measures / an oppressive power / any period of brutal suppression thought to resemble the Reign of Terror in France
15	a shoe that comes up to the ankle and is laced through two or three pairs of eyelets; often made of suede / footwear shaped to fit the foot (below the ankle) with a flexible upper of leather or plastic and a sole and heel of heavier material / hosiery consisting of a cloth covering for the foot; worn inside the shoe; reaches to between the ankle and the knee
16	a low leather step-in shoe; the top resembles a moccasin but it has a broad flat heel / a shoe that comes up to the ankle and is laced through two or three pairs of eyelets; often made of suede / footwear shaped to fit the foot (below the ankle) with a flexible upper of leather or plastic and a sole and heel of heavier material
17	piece of leather that comprises the part of a shoe or boot covering the heel and joining the vamp / the bottom of a shoe or boot; the back part of a shoe or boot that touches the ground and provides elevation / the outer sole of a shoe or boot that is the bottom of the shoe and makes contact with the ground
18	piece of leather that comprises the part of a shoe or boot covering the heel and joining the vamp / the forward tip of the upper of a shoe or boot that provides space and protection for the toes / the part of a shoe or stocking that covers the arch of the foot
19	a shoe that comes up to the ankle and is laced through two or three pairs of eyelets; often made of suede / footwear shaped to fit the foot (below the ankle) with a flexible upper of leather or plastic and a sole and heel of heavier material / hosiery consisting of a cloth covering for the foot; worn inside the shoe; reaches to between the ankle and the knee
20	piece of leather that comprises the part of a shoe or boot covering the heel and joining the vamp / the bottom of a shoe or boot; the back part of a shoe or boot that touches the ground and provides elevation / the forward tip of the upper of a shoe or boot that provides space and protection for the toes
21	of or relating to the palm of the hand or to the area at the base of the thumb / the part of the superior limb between the elbow and the wrist / the second finger; between the index finger and the ring finger
22	a small piece of something that is left over after the rest has been used / a small piece or quantity of something / small part of a cigar that is left after smoking
23	be later in time / following in time / occur between other event or between certain points of time
24	the front part of the human leg between the knee and the ankle / the part of the human leg between the knee and the ankle / the part of the leg of a human being below the ankle joint
25	a backless sandal held to the foot by a thong between the big toe and the second toe / a shoe that comes up to the ankle and is laced through two or three pairs of eyelets; often made of suede / footwear shaped to fit the foot (below the ankle) with a flexible upper of leather or plastic and a sole and heel of heavier material
26	a one-piece tight-fitting undergarment for women that covers the torso (and may have sleeves and legs) / a tight-fitting garment of stretchy material that covers the body from the shoulders to the thighs (and may have long sleeves or legs reaching down to the ankles); worn by ballet dancers and acrobats for practice or performance / an undergarment that covers the body from the waist no further than to the thighs; usually worn next to the skin
27	bend one's knee or body, or lower one's head / the position of head / the region of the hips and groin and lower abdomen
28	footwear shaped to fit the foot (below the ankle) with a flexible upper of leather or plastic and a sole and heel of heavier material / the bottom of a shoe or boot; the back part of a shoe or boot that touches the ground and provides elevation / the outer sole of a shoe or boot that is the bottom of the shoe and makes contact with the ground
29	a low leather step-in shoe; the top resembles a moccasin but it has a broad flat heel / a shoe that comes up to the ankle and is laced through two or three pairs of eyelets; often made of suede / footwear shaped to fit the foot (below the ankle) with a flexible upper of leather or plastic and a sole and heel of heavier material
