cluster	gloss
0	a pitch that is not in the strike zone
1	a pitch that is not in the strike zone
-1	one of the two male reproductive glands that produce spermatozoa and secrete androgens
5	a pitch that is not in the strike zone
2	one of the two male reproductive glands that produce spermatozoa and secrete androgens
7	the people assembled at a lavish formal dance
6	one of the two male reproductive glands that produce spermatozoa and secrete androgens
3	one of the two male reproductive glands that produce spermatozoa and secrete androgens
8	one of the two male reproductive glands that produce spermatozoa and secrete androgens
9	one of the two male reproductive glands that produce spermatozoa and secrete androgens
10	the people assembled at a lavish formal dance
11	a pitch that is not in the strike zone
12	a pitch that is not in the strike zone
13	one of the two male reproductive glands that produce spermatozoa and secrete androgens
14	one of the two male reproductive glands that produce spermatozoa and secrete androgens
4	one of the two male reproductive glands that produce spermatozoa and secrete androgens
15	a solid projectile that is shot by a musket
16	one of the two male reproductive glands that produce spermatozoa and secrete androgens
